frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
163,5.439,1529.967,104.356,1571.257,145.782,0.8769,10.61,58.724,17.79
163,5.439,1236.292,280.43,1361.184,404.345,0.8739,-7.901,-165.181,5.48
163,5.439,1642.722,120.335,1676.9,154.599,0.7176,6.674,29.545,4.835
164,5.472,1242.663,280.435,1364.336,401.756,0.8887,-7.053,-164.469,3.988
164,5.472,1529.421,103.852,1571.038,145.583,0.8774,9.167,54.611,15.462
164,5.472,1642.615,119.726,1676.619,153.821,0.7066,6.271,28.924,3.786
165,5.505,1246.357,279.449,1369.38,402.259,0.8879,-6.988,-166.237,3.33
165,5.505,1529.282,103.39,1570.773,145.046,0.8855,7.1,59.282,14.116
165,5.505,1642.572,119.333,1676.628,153.437,0.6759,6.187,28.239,4.073
166,5.539,1528.778,103.243,1570.419,145.032,0.8845,3.306,54.811,11.526
166,5.539,1255.062,279.837,1377.637,402.343,0.8735,-7.072,-163.206,3.374
167,5.572,1528.03,103.741,1569.635,145.378,0.8785,5.629,53.553,11.611
167,5.572,1264.23,282.527,1384.128,402.251,0.8748,-9.429,-163.224,3.499
168,5.606,1272.755,282.734,1393.874,404.171,0.8808,-10.647,-164.466,1.614
168,5.606,1527.611,104.743,1568.989,146.207,0.8735,10.423,52.218,17.131
169,5.639,1526.9,105.788,1568.636,147.453,0.8807,11.531,56.547,17.937
169,5.639,1282.361,285.263,1402.662,405.386,0.8237,-10.532,-159.851,1.257
170,5.672,1526.199,108.303,1567.333,149.55,0.886,14.905,63.358,19.803
170,5.672,1294.739,287.962,1417.561,410.61,0.8679,-11.729,-89.398,-0.064
171,5.706,1525.76,111.325,1566.9,152.387,0.8781,19.389,60.199,22.128
171,5.706,1311.305,288.638,1430.216,406.95,0.8398,-10.23,-153.275,2.768
171,5.706,1635.632,120.12,1672.269,155.674,0.386,11.156,18.147,9.45
172,5.739,1525.497,112.15,1566.648,153.261,0.8784,18.772,62.219,22.47
172,5.739,1316.168,288.927,1434.213,405.956,0.8777,-9.018,-109.768,2.269
173,5.772,1525.163,112.535,1566.435,153.98,0.8861,21.328,58.888,19.875
173,5.772,1321.309,288.022,1439.327,404.51,0.8736,-8.986,-137.214,2.597
174,5.806,1524.699,112.506,1565.949,154.036,0.8926,16.642,57.678,14.887
174,5.806,1329.505,284.815,1447.93,403.16,0.843,-11.276,162.957,-2.525
175,5.839,1524.078,113.078,1564.988,153.969,0.8895,14.055,53.889,16.165
175,5.839,1341.148,282.986,1457.023,398.745,0.88,-8.487,-162.701,3.797
176,5.873,1523.335,112.577,1564.26,153.424,0.8893,15.325,47.781,15.048
176,5.873,1345.405,279.942,1465.684,399.921,0.8439,-8.529,-124.398,1.54
177,5.906,1521.566,110.729,1563.053,152.404,0.8852,10.726,39.575,7.814
177,5.906,1355.472,275.662,1475.278,395.599,0.8352,-10.084,97.052,-1.951
177,5.906,1632.314,121.261,1666.184,154.989,0.4373,6.316,23.383,5.341
178,5.939,1520.858,109.999,1563.002,152.202,0.8769,13.669,38.474,9.296
178,5.939,1361.086,274.589,1476.897,391.419,0.8417,-9.627,159.661,-2.372
178,5.939,1631.33,120.534,1666.013,155.191,0.5449,6.626,24.456,4.595
179,5.973,1519.532,108.659,1562.202,151.242,0.8695,15.16,41.869,12.663
179,5.973,1364.721,271.926,1486.803,395.045,0.8577,-9.07,160.1,-2.554
179,5.973,1630.769,119.311,1665.34,153.648,0.7337,3.372,20.48,2.62
180,6.006,1517.634,107.071,1561.714,151.193,0.8643,13.695,38.364,15.749
180,6.006,1371.395,270.906,1495.564,396.105,0.8293,-10.172,-160.296,5.367
180,6.006,1629.981,117.929,1665.092,152.604,0.5939,0.73,21.256,1.912
181,6.039,1515.652,106.743,1558.448,149.799,0.8784,12.716,40.337,9.512
181,6.039,1383.184,272.41,1503.251,392.654,0.8533,-11.142,-160.936,5.587
182,6.073,1514.692,107.377,1557.76,150.772,0.8712,9.635,38.422,5.395
182,6.073,1386.553,272.79,1506.017,392.707,0.8689,-10.004,-159.358,4.068
183,6.106,1511.94,107.704,1556.471,152.534,0.8822,11.653,32.342,1.63
183,6.106,1391.901,274.789,1512.551,395.624,0.8313,-9.375,136.086,-0.959
184,6.139,1511.049,110.355,1554.261,153.845,0.8893,11.627,33.364,0.702
184,6.139,1398.168,276.67,1518.774,397.486,0.8544,-9.393,159.692,-0.918
185,6.173,1508.797,113.392,1550.862,156.035,0.8908,10.27,41.209,2.988
185,6.173,1410.338,279.545,1525.438,394.572,0.8717,-11.34,-162.048,6.053
185,6.173,1623.182,120.42,1661.658,157.874,0.4185,7.229,0.732,7.833
186,6.206,1507.986,114.981,1549.069,156.826,0.8904,12.156,45.604,5.239
186,6.206,1412.383,279.07,1529.019,395.541,0.8743,-10.264,-162.216,6.011
